CompanyKey,Company,Year,WomenPct,BvdID,NACE,IncorpYear,NumDirectors,TotalAssets_m,ShareFunds_m,NetIncome_m,Revenue_m,MarketCap_m,Employees,ROA,TotalDebt_m,TobinQ,GenderDiv,GenderDivSq,Blau,FCA_Post,CriticalMass,GenderDiv_x_Post,FirmSize,Leverage,FirmAge,Industry
RIO TINTO,Rio Tinto Plc,2025,40.0,GB00719885,0710,1961.0,23.0,95204.2548070909,49811.634277298195,7406.6416090886,43549.506824139404,75285.256496292,56890.0,0.07779738021264304,45392.6205297927,1.2675681068100384,0.4,0.16000000000000003,0.48,1,1,0.4,11.463779913132534,0.47679193142964255,64.0,07
ENTAIN,Entain Plc,2025,36.4,GBIM004685V,9329,2009.0,9.0,9396.3,1329.2,-666.7,5259.4,4903.193598831,28413.0,-0.07095346040462737,8067.099999999999,1.3803618018614774,0.364,0.132496,0.463008,1,1,0.364,9.148071273749304,0.8585400636420719,16.0,93
RECKITT BENCKISER,Reckitt Benckiser Group Plc,2025,58.3,GB06270876,7010,2006.0,35.0,25068.0,7781.0,3182.0,14205.0,40356.246409405,36200.0,0.12693473751396203,17287.0,2.299475283604795,0.583,0.33988899999999994,0.48622200000000004,1,1,0.583,10.129347411344567,0.6896042763682783,19.0,70
BRITISH AMERICAN TOBACCO,British American Tobacco Plc,2025,50.0,GB03407696,1200,1996.0,25.0,109290.0,48145.0,7764.0,25802.0,91842.702188619,47797.0,0.07104035135877025,61145.0,1.3998325756118493,0.5,0.25,0.5,1,1,0.5,11.60176017867072,0.5594747918382286,29.0,12
MONDI,Mondi Plc,2025,40.0,GB06209386,1729,2006.0,17.0,8858.24013358745,4540.895967533,144.08612204672,6691.7088075395,4008.908499796,22100.0,0.016265772870662443,4317.3441660544495,0.9399443388625375,0.4,0.16000000000000003,0.48,1,1,0.4,9.089103393348868,0.4873817034700314,19.0,17
RENTOKIL INITIAL,Rentokil Initial Plc,2025,36.4,GB05393279,3900,2004.0,26.0,10727.2190433057,4083.0914108301,349.299774861694,5327.9363531563495,11304.028244473,63388.0,0.03256200637383962,6644.1276324756,1.6731415481022653,0.364,0.132496,0.463008,1,1,0.364,9.280539626199305,0.6193709297492023,21.0,39
ROLLS ROYCE,Rolls-Royce Holdings Plc,2025,50.0,GB07524813,3030,2010.0,43.0,38115.0,2753.0,5841.0,21207.0,97103.798348,43162.0,0.15324675324675324,35362.0,3.4754243302636754,0.5,0.25,0.5,1,1,0.5,10.548363184422374,0.9277712186803095,15.0,30
VODAFONE,Vodafone Group Plc,2025,46.2,GB01833679,6190,1983.0,28.0,113179.401088107,47360.628551509,-345.850630643779,35248.0160364684,26157.321487745,91128.0,-0.0030557736418356197,65818.772536598,0.8126575431578948,0.462,0.21344400000000002,0.497112,1,1,0.462,11.636729459006485,0.5815437429763383,42.0,61
CENTRICA,Centrica Plc,2025,46.2,GB03033654,3522,1904.0,19.0,15415.0,3496.0,-72.0,19492.0,7817.251962624,22066.0,-0.004670775218942588,11919.0,1.280327730303211,0.462,0.21344400000000002,0.497112,1,1,0.462,9.64309634032025,0.773207914369121,121.0,35
WEIR,Weir Group Plc,2025,44.4,GBSC002934,2813,1895.0,19.0,4539.5,1915.1,246.9,2568.1,7388.558762238,12787.0,0.05438924991739178,2624.4,2.2057404476788194,0.444,0.197136,0.49372799999999994,1,1,0.444,8.420572152811811,0.5781253442009032,130.0,28
