CompanyKey,Company,Year,WomenPct
HALMA,Halma Plc,2022,50.0
UNITED,United Utilities Group Plc,2022,44.4
ASTRAZENECA,AstraZeneca Plc,2022,38.5
AUTO TRADER,Auto Trader Group Plc,2022,55.6
DIAGEO,Diageo Plc,2022,63.6
ABRDN,abrdn Plc,2022,45.5
LLOYDS BANKING,Lloyds Banking Group Plc,2022,45.5
SEVERN TRENT,Severn Trent Plc,2022,55.6
NATWEST,NatWest Group Plc,2022,45.5
NATIONAL GRID,National Grid Plc,2022,41.7
JD SPORTS FASHION,JD Sports Fashion Plc,2022,44.4
MELROSE INDUSTRIES,Melrose Industries Plc,2022,40.0
RELX,RELX Plc,2022,40.0
COMPASS,Compass Group Plc,2022,33.0
UNILEVER,Unilever Plc,2022,38.5
SAGE,Sage Group Plc32,2022,36.4
JOHNSON MATTHEY,Johnson Matthey Plc,2022,33.0
AVIVA,Aviva Plc,2022,41.7
CONVATEC,Convatec Group Plc,2022,40.0
ADMIRAL,Admiral Group Plc,2022,54.5
M G,M&G Plc,2022,44.4
RIO TINTO,Rio Tinto Plc33,2022,36.4
CRODA,Croda International Plc,2022,54.5
SPIRAX,Spirax-Sarco Engineering Plc,2022,40.0
DS SMITH,DS Smith Plc,2022,37.5
TESCO,Tesco Plc,2022,41.7
LEGAL GENERAL,Legal & General Group Plc,2022,41.7
PERSIMMON,Persimmon Plc,2022,33.0
BRITISH LAND,British Land Company Plc,2022,40.0
SSE,SSE Plc,2022,46.2
SMURFIT KAPPA,Smurfit Kappa Group Plc,2022,38.5
HSBC,HSBC Holdings Plc,2022,33.0
STANDARD CHARTERED,Standard Chartered Plc,2022,46.7
SCHRODERS,Schroders Plc,2022,50.0
INFORMA,Informa Plc,2022,45.5
KINGFISHER,Kingfisher Plc,2022,44.4
LAND SECURITIES,Land Securities Group Plc,2022,44.4
ROLLS ROYCE,Rolls-Royce Holdings Plc,2022,33.0
FLUTTER,Flutter Entertainment Plc,2022,46.2
PRUDENTIAL,Prudential Plc,2022,38.5
UNITE,Unite Group Plc,2022,40.0
CENTRICA,Centrica Plc,2022,44.4
SEGRO,SEGRO Plc,2022,40.0
HARGREAVES LANSDOWN,Hargreaves Lansdown Plc,2022,45.5
RECKITT BENCKISER DRUG GROCERY,Reckitt Benckiser Group Plc Drug & Grocery,2022,33.0
RENTOKIL INITIAL,Rentokil Initial Plc,2022,33.0
VODAFONE,Vodafone Group Plc,2022,53.8
BUNZL,Bunzl Plc,2022,37.5
BAE SYSTEMS,BAE Systems Plc,2022,35.7
SMITH NEPHEW,Smith & Nephew Plc,2022,36.4
GLENCORE,Glencore Plc,2022,44.4
BARRATT REDROW,Barratt Developments Plc,2022,33.0
ANGLO AMERICAN,Anglo American Plc,2022,33.0
BERKELEY,Berkeley Group Holdings Plc,2022,33.0
SMITHS,Smiths Group Plc,2022,40.0
ENTAIN,Entain Plc,2022,36.4
BARCLAYS,Barclays Plc,2022,38.5
AVEVA,AVEVA Group Plc,2022,33.0
TAYLOR WIMPEY,Taylor Wimpey Plc,2022,44.4
EXPERIAN,Experian Plc,2022,45.5
SHELL,Shell Plc,2022,54.5
ASSOCIATED BRITISH FOODS,Associated British Foods Plc,2022,33.0
MONDI,Mondi Plc,2022,33.0
IMPERIAL BRANDS,Imperial Brands Plc,2022,40.0
WEIR,Weir Group Plc,2022,41.7
BRITISH AMERICAN,British American Tobacco Plc,2022,36.4
ENDEAVOUR,Endeavour Mining Plc,2022,33.0
DCC,DCC Plc,2022,33.0
INTERTEK,Intertek Group Plc,2022,36.4
CRH,CRH Plc,2022,33.0
ASHTEAD,Ashtead Group Plc,2022,44.4
FRESNILLO,Fresnillo Plc,2022,33.0
GSK,GSK Plc,2022,27.3
OCADO,Ocado Group Plc,2022,30.8
COCA COLA HBC,Coca-Cola HBC AG,2022,30.8
ST JAMES S PLACE,St. James's Place Plc,2022,30.0
AIRTEL AFRICA,Airtel Africa Plc,2022,30.8
ANTOFAGASTA,Antofagasta Plc,2022,30.0
FRASERS,Frasers Group Plc,2022,28.6
NEXT,Next Plc,2021,40.0
BURBERRY,Burberry Group Plc,2021,54.5
PEARSON,Pearson Plc,2021,44.4
J SAINSBURY,J Sainsbury Plc,2021,33.3
ITV,ITV Plc,2021,45.5
ASTRAZENECA,AstraZeneca Plc,2021,38.5
WPP,WPP Plc,2021,42.9
RIGHTMOVE,Rightmove Plc,2021,50.0
PHOENIX,Phoenix Group Holdings,2021,33.3
DIAGEO,Diageo Plc,2021,60.0
BRITISH LAND,The British Land Company Plc,2021,36.4
HALMA,Halma Plc,2021,50.0
DECHRA,Dechra Pharmaceuticals Plc,2021,37.5
SEVERN TRENT,Severn Trent Plc,2021,50.0
JD SPORTS FASHION,JD Sports Fashion Plc,2021,42.9
MELROSE INDUSTRIES,Melrose Industries Plc,2021,45.5
RIO TINTO,Rio Tinto Plc,2021,36.4
ADMIRAL,Admiral Group Plc,2021,54.5
AUTO TRADER,Auto Trader Group Plc,2021,55.6
LEGAL GENERAL,Legal & General Group Plc,2021,36.4
NATWEST,NatWest Group Plc,2021,36.4
AVAST,Avast Plc,2021,33.3
NATIONAL GRID,National Grid Plc,2021,41.7
ABRDN,abrdn Plc,2021,50.0
AVIVA,Aviva Plc,2021,41.7
M G,M&G Plc,2021,50.0
FLUTTER,Flutter Entertainment Plc,2021,35.7
LLOYDS BANKING,Lloyds Banking Group Plc,2021,40.0
HSBC,HSBC Holdings Plc,2021,38.5
CRODA,Croda International Plc,2021,44.4
SEGRO,SEGRO Plc,2021,40.0
SPIRAX,Spirax-Sarco Engineering Plc,2021,40.0
INFORMA,Informa Plc,2021,41.7
RELX,RELX Plc,2021,45.5
DS SMITH,DS Smith Plc,2021,37.5
ENTAIN,Entain Plc,2021,33.3
UNILEVER,Unilever Plc,2021,46.2
RENTOKIL INITIAL,Rentokil Initial Plc,2021,37.5
SMURFIT KAPPA,Smurfit Kappa Group Plc,2021,33.3
SCHRODERS,Schroders Plc,2021,50.0
BAE SYSTEMS,BAE Systems Plc,2021,35.7
GSK,10 GlaxoSmithKline Plc,2021,38.5
VODAFONE,Vodafone Group Plc,2021,44.4
MONDI,Mondi Plc,2021,44.4
ROYAL MAIL,Royal Mail Plc,2021,40.0
BUNZL,Bunzl Plc,2021,37.5
SHELL,Royal Dutch Shell Plc,2021,50.0
KINGFISHER,Kingfisher Plc,2021,50.0
HARGREAVES LANSDOWN,Hargreaves Lansdown Plc,2021,40.0
ANGLO AMERICAN,Anglo American Plc,2021,38.5
PRUDENTIAL,Prudential Plc,2021,35.7
ROLLS ROYCE,Rolls-Royce Holdings Plc,2021,38.5
PERSIMMON,Persimmon Plc,2021,33.3
AVEVA,AVEVA Group Plc,2021,40.0
RECKITT BENCKISER DRUG GROCERY,Reckitt Benckiser Group Plc Drug & Grocery,2021,41.7
EXPERIAN,Experian Plc,2021,36.4
BARCLAYS,Barclays Plc,2021,33.3
TAYLOR WIMPEY,Taylor Wimpey Plc,2021,50.0
BARRATT REDROW,Barratt Developments Plc,2021,33.3
SSE,SSE Plc,2021,50.0
POLYMETAL,Polymetal International Plc,2021,33.3
ASSOCIATED BRITISH FOODS,Associated British Foods Plc,2021,33.3
BRITISH AMERICAN,British American Tobacco Plc,2021,40.0
INTERTEK,Intertek Group Plc,2021,33.3
CRH,CRH Plc,2021,33.3
IMPERIAL BRANDS,Imperial Brands Plc,2021,36.4
SMITHS,Smiths Group Plc,2021,40.0
DCC,DCC Plc,2021,36.4
FERGUSON,Ferguson Plc,2021,45.5
MEGGITT,Meggitt Plc,2021,44.4
GLENCORE,Glencore Plc,2021,37.5
FRESNILLO,Fresnillo Plc,2021,33.3
INTERMEDIATE CAPITAL,Intermediate Capital Group Plc,2021,41.7
ASHTEAD,Ashtead Group Plc,2021,37.5
WHITBREAD,Whitbread Plc,2021,30.0
BHP,BHP Group Plc,2021,20.0
SAGE,Sage Group Plc,2021,30.0
COMPASS,Compass Group Plc,2021,30.8
UNITED,United Utilities Group Plc,2021,30.0
SMITH NEPHEW,Smith & Nephew Plc,2021,27.3
BERKELEY,Berkeley Group Holdings Plc,2021,28.6
COCA COLA HBC,Coca-Cola HBC AG,2021,30.8
HIKMA,Hikma Pharmaceuticals Plc,2021,30.0
TESCO,Tesco Plc,2021,30.8
STANDARD CHARTERED,Standard Chartered Plc,2021,30.8
OCADO,Ocado Group Plc,2021,25.0
ST JAMES S PLACE,St. James's Place Plc,2021,30.0
EVRAZ,EVRAZ Plc,2021,16.7
ANTOFAGASTA,Antofagasta Plc,2021,30.0
DIAGEO,Diageo Plc Beverages,2020,37.4
SEVERN TRENT,Severn Trent Plc,2020,38.6
RIGHTMOVE,Rightmove Plc,2020,41.3
AUTO TRADER,Auto Trader Group Plc,2020,32.7
M G,M&G Plc,2020,30.3
TAYLOR WIMPEY,Taylor Wimpey Plc,2020,30.0
RENTOKIL INITIAL,Rentokil Initial Plc Support Services,2020,27.4
SPIRAX,Spirax-Sarco Engineering Plc Industrial Engineering,2020,27.3
WPP,WPP Plc,2020,35.8
BURBERRY,Burberry Group Plc Personal Goods,2020,50.4
PEARSON,Pearson Plc,2020,41.0
ABRDN,Standard Life Aberdeen Plc,2020,36.2
ADMIRAL,Admiral Group Plc Non-Life,2020,34.5
VODAFONE,Vodafone Group Plc,2020,30.3
RELX,RELX Plc,2020,29.8
SCHRODERS,Schroders Plc,2020,26.6
FERGUSON,Ferguson Plc Support Services,2020,20.6
LAND SECURITIES,Land Securities Group Plc,2020,30.0
PENNON,Pennon Group Plc,2020,30.8
GSK,GlaxoSmithKline Plc,2020,40.6
UNILEVER,Unilever Plc Personal Goods,2020,33.5
RECKITT BENCKISER,Reckitt Benckiser Group Plc,2020,26.3
ST JAMES S PLACE,St. James's Place Plc,2020,23.9
CRH,CRH Plc,2020,14.7
NEXT,Next Plc General Retailers,2020,53.8
HALMA,Halma Plc,2020,40.9
RSA,RSA Insurance Group Plc Non-Life,2020,36.4
AVIVA,Aviva Plc Life,2020,34.5
RIO TINTO,Rio Tinto Plc Mining,2020,32.3
KINGFISHER,Kingfisher Plc General Retailers,2020,27.3
