Company,BvdID,NACE,IncorpSerial,NumDirectors,Year,TotalAssets,ShareholdersFunds,NetIncome,Revenue,MarketCap,Employees,TotalAssets_m,MarketCap_m,ShareFunds_m,NetIncome_m,Revenue_m,IncorpYear,CompanyKey
SEVERN TRENT PLC,GB02366619,3600,32599,17,2025,17571.0,1841000.0,371000.0,2834000.0,9303.669421243,10860.0,17571.0,9303.669421243,1841.0,371.0,2834.0,1988.0,SEVERN TRENT
MITCHELLS & BUTLERS PLC,GB04551498,5610,37531,15,2025,5393.0,2816000.0,177000.0,2711000.0,1479.173489923,50191.0,5393.0,1479.173489923,2816.0,177.0,2711.0,2001.0,MITCHELLS BUTLERS
SCHRODERS PLC,GB03909886,6619,21551,26,2025,24612.7,4456400.0,550400.0,2700400.0,6555.595177957,5717.0,24612.7,6555.595177957,4456.4,550.4,2700.4,1958.0,SCHRODERS
SIG PLC,GB00998314,4673,25931,25,2025,1141.0,120500.0,-64100.0,2591000.0,118.628321449,6620.0,1141.0,118.628321449,120.5,-64.1,2591.0,1970.0,SIG
UNITED UTILITIES GROUP PLC,GB06559020,3600,32599,22,2025,18127.0,2241400.0,586800.0,2639600.0,8966.83243658,6807.0,18127.0,8966.83243658,2241.4,586.8,2639.6,1988.0,UNITED UTILITIES
THE WEIR GROUP PLC,GBSC002934,2813,14/06/1895,19,2025,4539.5,1915100.0,246900.0,2568100.0,7388.558762238,12787.0,4539.5,7388.558762238,1915.1,246.9,2568.1,1895.0,WEIR
SAVILLS PLC,GB02122174,7022,31877,17,2025,2351.2,804400.0,70900.0,2555400.0,1454.627508051,40181.0,2351.2,1454.627508051,804.4,70.9,2555.4,1986.0,SAVILLS
HALMA PLC,GB00040932,2611,13/04/1894,22,2025,3712.7,2168000.0,372300.0,2582300.0,14434.115696428,9382.0,3712.7,14434.115696428,2168.0,372.3,2582.3,1894.0,HALMA
HIKMA PHARMACEUTICALS PLC,GB05557934,2120,38603,21,2025,4214.63621966099,1936755.77295654,298762.7861583,2511985.61496282,3439.2400215,9603.0,4214.63621966099,3439.2400215,1936.75577295654,298.7627861583,2511.98561496282,2004.0,HIKMA PHARMACEUTICALS
THE SAGE GROUP PLC,GB02231246,5829,32218,18,2025,3713.0,720000.0,369000.0,2513000.0,10597.62682,11094.0,3713.0,10597.62682,720.0,369.0,2513.0,1987.0,SAGE
ASOS PLC,GB04006623,4771,36679,26,2025,1672.1,212400.0,-298400.0,2494300.0,331.667942023,2974.0,1672.1,331.667942023,212.4,-298.4,2494.3,1999.0,ASOS
HOWDEN JOINERY GROUP PLC,GB02128710,3102,31904,19,2025,2354.1,1190900.0,267700.0,2418000.0,4487.487184587,11605.0,2354.1,4487.487184587,1190.9,267.7,2418.0,1986.0,HOWDEN JOINERY
BERKELEY GROUP HOLDINGS (THE) PLC,GB05172586,4110,1976,14,2025,6692.8,3559800.0,382000.0,2486500.0,4131.066912282,2552.0,6692.8,4131.066912282,3559.8,382.0,2486.5,1904.0,BERKELEY
BURBERRY GROUP PLC,GB03458224,4771,35733,29,2025,3091.0,946000.0,21000.0,2431000.0,3927.626522593,7613.0,3091.0,3927.626522593,946.0,21.0,2431.0,1996.0,BURBERRY
CAPITA PLC,GB02081330,8110,31754,19,2025,1743.5,41800.0,-164100.0,2312300.0,486.72433408,29485.0,1743.5,486.72433408,41.8,-164.1,2312.3,1985.0,CAPITA
IMI PLC,GB00714275,2899,22679,13,2025,2480.1,1109100.0,309900.0,2304000.0,6145.510067904,10358.0,2480.1,6145.510067904,1109.1,309.9,2304.0,1961.0,IMI
ITHACA ENERGY PLC,GB12263719,0610,2019,21,2025,6277.73446437602,1911338.64040278,-62502.3639699329,2189812.31197868,2741.888397773,765.0,6277.73446437602,2741.888397773,1911.33864040278,-62.5023639699329,2189.81231197868,1904.0,ITHACA ENERGY
GREGGS PLC,GB00502851,5610,18991,13,2025,1484.0,625200.0,122200.0,2151200.0,1717.895261985,39863.0,1484.0,1717.895261985,625.2,122.2,2151.2,1951.0,GREGGS
OCADO GROUP PLC,GB07098618,4778,40155,19,2025,4279.0,1561300.0,405200.0,2149600.0,1546.837212967,21367.0,4279.0,1546.837212967,1561.3,405.2,2149.6,2009.0,OCADO
J D WETHERSPOON PLC,GB01709784,5630,30400,13,2025,1907.94,361996.0,67991.0,2127524.0,851.214679667,42081.0,1907.94,851.214679667,361.996,67.991,2127.524,1982.0,J D WETHERSPOON
W.A.G PAYMENT SOLUTIONS PLC,GB13544823,7490,2021,17,2025,978.570940246382,212870.216964151,1926.38778930342,2017865.88506782,727.049521332,1989.0,978.570940246382,727.049521332,212.870216964151,1.92638778930342,2017.86588506782,1904.0,W A G PAYMENT SOLUTIONS
TATE & LYLE PLC,GB00076535,1039,1154,24,2025,3666.0,1598000.0,97000.0,2007000.0,1612.517274523,4840.0,3666.0,1612.517274523,1598.0,97.0,2007.0,1902.0,TATE LYLE
WH SMITH PLC,GB05202036,4778,38209,10,2025,1460.0,188000.0,-144000.0,1916000.0,872.52671256,14235.0,1460.0,872.52671256,188.0,-144.0,1916.0,2003.0,WH SMITH
GALLIFORD TRY HOLDINGS PLC,GB12216008,4120,1965,11,2025,833.6,122100.0,33600.0,1875200.0,428.482636794,4317.0,833.6,428.482636794,122.1,33.6,1875.2,1904.0,GALLIFORD TRY
